,GRYD_ETO_ID,Categorized_Activities
724,77th 2-13-1363-1,
725,Newton 2-23-15-1,"church, selfimprovement"
726,Hollenbeck 1-20-128-2,program
727,BVCB-0-232-2,"sports, study"
728,Southwest 1-15-315-1,"study, job"
729,Southeast 2-20-130-1,hygiene
730,BVCB-0-192-4,selfimprovement
731,Newton 1-17-194-1,
732,Southeast 2-20-160-1,hygiene
733,Newton 2-23-187-1,"volunteer, study"
734,Southwest 1-15-302-2,job
735,Hollenbeck 2-20-31-2,
736,Southwest 1-15-290-1,"study, job, selfimprovement"
737,Southwest 1-15-301-2,"workout, therapy"
738,BVCB-0-76-3,selfimprovement
739,Hollenbeck 3-20-120-2,
740,Rampart 1-12-503-1,church
741,Hollenbeck 3-20-124-2,
742,Newton 2-23-86-2,"program, sports"
743,Newton 2-23-170-1,study
744,Newton 2-23-151-1,"family, program"
745,77th 2-13-1360-1,
746,Southwest 2-23-82-1,
747,BVCB-0-119-3,"study, job"
748,Hollenbeck 3-20-131-2,
749,BVCB-0-222-2,
750,Hollenbeck 3-20-132-2,
751,Hollenbeck 3-20-137-2,
752,Hollenbeck 3-20-133-2,job
753,Hollenbeck 3-20-142-2,
754,Newton 2-23-173-1,family
755,77th 2-13-1338-1,
756,Hollenbeck 3-20-47-3,sports
757,Southwest 1-15-312-1,art
758,Southwest 1-15-298-1,"entertainment, selfimprovement"
759,Olympic-12-78-1,study
760,77th 3-20-109-2,"sports, study"
761,Newton 2-23-155-1,program
762,Newton 2-23-138-1,
763,Newton 2-23-130-1,sports
764,Southwest 1-15-272-2,sports
765,BVCB-0-184-2,"job, study"
766,Newton 2-23-113-1,program
767,Newton 1-17-176-1,
768,Southwest 2-23-52-2,
769,CPHBRE-0-98-1,
770,BVCB-0-129-2,"job, selfimprovement"
771,Hollenbeck 1-20-123-2,tutoring
772,FGSEARE-0-73-1,job
773,Hollywood-12-11-1,sports
774,Hollenbeck 2-20-96-2,
775,Hollywood-12-7-1,"family, sports"
776,Hollywood-12-12-1,community
777,Southwest 2-23-58-2,
778,Southwest 2-23-48-2,
779,Devonshire-Topanga-11-120-1,job
780,Hollywood-12-6-1,volunteer
781,Hollywood-12-4-1,volunteer
782,Foothill-14-390-1,
783,Northeast-20-188-2,"selfimprovement, program"
784,Newton 1-17-187-1,church
785,Southwest 1-15-303-2,
786,Southeast 3-10-157-1,
787,Hollenbeck 1-20-98-2,program
788,Hollenbeck 3-20-153-2,
789,Hollenbeck 1-20-64-2,volunteer
790,Newton 2-23-197-1,study
791,Newton 2-23-158-1,"study, job"
792,BVCB-0-226-3,
793,Hollenbeck 3-20-144-2,
794,Valley-92-13-1,
795,FGSEARE-0-77-1,art
796,Northeast-20-144-2,
797,Newton 1-17-180-1,"job, selfimprovement"
798,Southwest 1-15-320-2,church
799,Newton 2-23-175-1,program
800,Harbor-21-187-1,
801,77th 1-16-81-1,
802,Hollenbeck 2-20-89-2,"selfimprovement, therapy"
803,Hollywood-12-71-1,program
804,Harbor-21-186-1,
805,Hollywood-12-13-1,volunteer
806,Hollywood-12-70-2,sports
807,Newton 2-23-181-1,"school, program"
808,Southeast 2-20-153-1,hygiene
809,Pacific-18-121-1,"therapy, program"
810,Hollenbeck 2-20-110-2,
811,CPHBRE-0-91-1,
812,Newton 2-23-126-1,program
813,Valley-92-1-1,"family, sports"
814,Hollywood-12-64-1,"sports, volunteer"
815,Olympic-12-4-1,
816,Southeast 2-20-129-2,hygiene
817,Hollywood-12-69-2,sports
818,77th 2-13-1305-1,
819,Southwest 2-23-76-1,
820,Southwest 1-15-305-2,sports
821,Southwest 2-23-34-2,
822,BVCB-0-196-3,"job, study"
823,Harbor-21-188-1,
824,FGSEARE-0-76-1,sports
825,Hollenbeck 2-20-52-3,
826,Foothill-14-312-1,
827,BVCB-0-217-2,job
828,Southeast 2-20-143-1,hygiene
829,Hollenbeck 2-20-6-3,"sports, study"
830,Southwest 2-23-85-1,
831,FGSEARE-0-80-1,sports
832,Southeast 2-20-155-1,hygiene
833,Southeast 2-20-138-1,hygiene
834,77th 2-13-1362-1,
835,77th 1-16-64-1,
836,Southeast 2-20-154-1,hygiene
837,Hollenbeck 2-20-136-2,program
838,Newton 1-17-207-1,
839,Harbor-21-189-1,
840,Hollywood-12-37-2,"art, volunteer"
841,Hollywood-12-15-1,community
842,Hollywood-12-16-1,community
843,RPARGR-PP-158-3,family
844,RPARGR-PP-149-2,volunteer
845,Pacific-18-245-1,
846,Southwest 1-15-311-2,
847,Newton 2-23-201-1,sports
848,Hollenbeck 2-20-143-2,
849,Foothill-14-375-1,
850,Newton 1-17-199-1,
851,Northeast-20-242-2,
852,Hollenbeck 1-20-149-2,"volunteer, sports"
853,Southeast 1-22-92-1,sports
854,SSSEARE-0-87-1,study
855,Hollenbeck 1-20-112-2,sports
856,77th 2-13-1359-1,program
857,77th 2-13-1358-1,program
858,77th 2-13-1290-2,program
859,Rampart 1-12-532-1,program
860,Hollenbeck 2-20-45-2,selfimprovement
861,Valley-92-7-1,
862,Rampart 2-12-235-2,study
863,Southeast 3-10-135-1,selfimprovement
864,Southeast 3-10-159-1,
865,Newton 1-17-177-1,
866,Newton 1-17-174-1,
867,Hollenbeck 1-20-116-2,sports
868,CPHBRE-0-92-1,
869,Pacific-18-252-1,"therapy, program"
870,Hollenbeck 2-20-122-2,therapy
871,Southwest 2-23-67-2,"church, study"
872,Hollenbeck 1-20-120-2,
873,Newton 1-17-200-1,sports
874,Northeast-20-162-3,
875,Hollenbeck 3-20-3-2,
876,77th 1-16-82-1,
877,Northeast-20-206-2,
878,Rampart 1-12-530-1,job
879,Hollenbeck 3-20-62-3,
880,Southwest 1-15-314-2,job
881,Hollenbeck 2-20-145-2,
882,Hollenbeck 3-20-170-1,
883,Northeast-20-149-3,
884,Northeast-20-208-2,"job, sports"
885,Devonshire-Topanga-11-128-1,program
886,Devonshire-Topanga-11-125-1,"art, program, sports"
887,BVCB-0-235-2,job
888,Pacific-18-250-1,"therapy, selfimprovement"
889,77th 2-13-1308-2,
890,77th 2-13-1309-1,
891,77th 3-20-172-1,
892,Newton 1-17-116-2,tutoring
893,Hollywood-12-30-2,sports
894,Hollenbeck 2-20-116-2,"study, church"
895,Rampart 2-12-226-2,entertainment
896,Rampart 2-12-267-2,
897,Hollenbeck 1-20-81-2,
898,Hollenbeck 1-20-121-2,program
899,Hollywood-12-80-1,"church, sports"
900,Hollenbeck 1-20-59-2,program
901,Hollywood-12-79-1,
902,Rampart 2-12-248-1,
903,Newton 1-17-206-1,sports
904,Hollenbeck 3-20-125-2,
905,Hollywood-12-78-2,program
906,Rampart 2-12-251-1,program
907,RPARGR-PP-124-2,study
908,Southwest 2-23-92-1,program
909,Newton 1-17-208-1,sports
910,77th 3-20-174-1,
911,Southwest 1-15-262-1,
912,Hollenbeck 1-20-113-2,
913,Southwest 2-23-65-2,
914,Hollenbeck 1-20-64-2,volunteer
915,Rampart 2-12-237-2,job
916,Pacific-18-113-1,study
917,Southwest 2-23-60-2,
918,Rampart 2-12-249-2,sports
919,BVCB-0-192-4,
920,Hollenbeck 1-20-130-2,
921,Southeast 3-10-158-1,
922,Newton 2-23-192-1,"program, art, selfimprovement"
923,Southwest 2-23-61-2,
924,Rampart 2-12-259-1,"job, study"
925,Hollenbeck 3-20-126-2,
926,Rampart 2-12-243-2,job
927,Hollywood-12-24-2,community
928,Southwest 2-23-75-1,
929,Pacific-18-114-1,
930,Newton 1-17-133-1,
931,Hollenbeck 1-20-52-3,
932,Newton 2-23-198-1,program
933,Hollenbeck 2-20-139-2,
934,Newton 1-17-168-1,
935,Southwest 2-23-97-1,
936,Hollenbeck 2-20-73-2,church
937,Rampart 2-12-224-2,church
938,Hollenbeck 1-20-136-2,
939,Southwest 2-23-93-1,sports
940,Rampart 1-12-462-1,
941,Foothill-14-381-1,church
942,Northeast-20-119-2,church
943,Hollenbeck 2-20-132-2,"community, volunteer"
944,CPHBRE-0-83-1,"study, sports"
945,Devonshire-Topanga-11-140-1,family
946,Rampart 1-12-518-1,
947,Southeast 3-10-120-1,
948,77th 3-20-76-2,
949,Rampart 2-12-244-2,entertainment
950,Devonshire-Topanga-11-90-2,other
951,Rampart 1-12-459-2,
952,Valley-92-20-1,
953,Hollenbeck 1-20-111-2,church
954,Hollenbeck 2-20-134-2,other
955,Newton 2-23-75-1,job
956,Southwest 2-23-98-1,
957,CPHBRE-0-82-1,
958,Southeast 1-22-91-2,
959,Hollywood-12-19-2,family
960,Harbor-21-192-1,
961,Hollywood-12-14-1,sports
962,CPHBRE-0-84-1,"sports, art"
963,Newton 1-17-173-1,
964,Newton 2-23-185-1,
965,Hollenbeck 3-20-187-1,
966,Devonshire-Topanga-11-135-1,job
967,Newton 2-23-56-1,art
968,Devonshire-Topanga-11-99-2,
969,Devonshire-Topanga-11-129-1,selfimprovement
970,Hollywood-12-26-2,church
971,Hollywood-12-25-2,study
972,Northeast-20-156-2,
973,Hollenbeck 2-20-58-3,
974,Southwest 2-23-91-2,volunteer
975,Newton 1-17-170-1,art
976,SSSEARE-0-93-1,
977,Devonshire-Topanga-11-7-2,
978,Devonshire-Topanga-11-123-1,selfimprovement
979,Northeast-20-226-2,"volunteer, church"
980,Devonshire-Topanga-11-126-1,
981,Olympic-12-121-1,
982,Hollenbeck 1-20-148-2,sports
983,NHSEA-0-210-4,
984,Devonshire-Topanga-11-108-1,"selfimprovement, other"
985,Southwest 1-15-316-2,
986,NHSEA-0-236-2,
987,Devonshire-Topanga-11-131-1,selfimprovement
988,Newton 2-23-210-1,"sports, program"
989,Newton 1-17-178-1,job
990,Newton 1-17-156-1,
991,Southwest 2-23-79-2,
992,Newton 2-23-139-1,
993,Newton 1-17-70-1,
994,Devonshire-Topanga-11-97-1,
995,Devonshire-Topanga-11-133-1,sports
996,Rampart 2-12-216-1,"program, church"
997,Rampart 2-12-246-1,
998,Newton 2-23-211-1,
999,Hollenbeck 2-20-119-2,
1000,Southeast 1-22-79-2,sports
1001,Hollenbeck 1-20-103-2,
1002,Hollenbeck 2-20-68-2,
1003,Olympic-12-58-1,
1004,Olympic-12-61-1,
1005,Hollenbeck 3-20-166-2,
1006,Foothill-14-359-1,
1007,Newton 2-23-183-1,program
1008,Southwest 2-23-81-1,
1009,77th 3-20-231-1,
1010,Newton 2-23-132-1,sports
1011,Southwest 2-23-88-1,
1012,Southeast 1-22-101-1,
1013,Olympic-12-152-1,
1014,Southeast 1-22-102-1,sports
1015,Hollenbeck 1-20-77-3,
1016,Hollenbeck 2-20-154-2,
1017,Devonshire-Topanga-11-142-1,sports
1018,Newton 2-23-220-1,program
1019,Newton 2-23-219-1,"community, program"
1020,Northeast-20-222-2,volunteer
1021,Southeast 3-10-136-2,program
1022,Newton 1-17-223-1,
1023,BVCB-0-158-3,
1024,Hollenbeck 2-20-77-3,program
1025,Newton 2-23-172-1,study
1026,Hollenbeck 1-20-101-2,
1027,Olympic-12-145-1,
1028,Hollenbeck 3-20-184-2,
1029,Hollenbeck 2-20-74-2,
1030,Hollenbeck 2-20-114-2,
1031,FGSEARE-0-84-1,
1032,Southwest 2-23-80-1,
1033,Olympic-12-133-1,
1034,Southwest 2-23-82-1,"selfimprovement, job"
1035,Olympic-12-139-2,
1036,Hollenbeck 2-20-71-2,
1037,SSSEARE-0-46-2,
1038,Southeast 3-10-186-1,sports
1039,Southeast 1-22-97-1,
1040,Hollenbeck 2-20-156-2,
1041,Hollenbeck 3-20-122-2,
1042,Southwest 2-23-101-1,
1043,Southeast 3-10-162-1,job
1044,Hollenbeck 1-20-119-1,
1045,Southwest 1-15-322-2,job
1046,Newton 2-23-194-1,
1047,Southeast 2-20-107-2,hygiene
1048,Northeast-20-228-2,volunteer
1049,Harbor-21-194-1,program
1050,Southwest 1-15-296-2,study
1051,Hollenbeck 1-20-125-2,
1052,77th 1-16-83-1,
1053,Southeast 2-20-145-1,hygiene
1054,77th 1-16-74-1,
1055,Southwest 1-15-312-1,community
1056,77th 2-13-1386-1,
1057,Hollenbeck 3-20-178-2,
1058,Northeast-20-249-2,
1059,Hollenbeck 1-20-140-2,
1060,Foothill-14-378-1,"volunteer, sports"
1061,Northeast-20-253-2,
1062,Southeast 3-10-185-1,church
1063,Northeast-20-218-2,job
1064,Northeast-20-196-2,
1065,77th 1-16-91-1,
1066,Southwest 1-15-342-1,
1067,Southeast 2-20-160-1,hygiene
1068,Hollenbeck 1-20-147-2,
1069,Hollenbeck 2-20-149-2,
1070,Hollenbeck 2-20-140-2,
1071,Hollenbeck 1-20-139-2,
1072,Southeast 1-22-133-1,
1073,Southwest 1-15-260-2,program
1074,Hollenbeck 1-20-122-2,"program, church"
1075,77th 1-16-94-1,
1076,Northeast-20-123-2,
1077,Devonshire-Topanga-11-13-2,selfimprovement
1078,BVCB-0-222-2,program
1079,Devonshire-Topanga-11-98-1,selfimprovement
1080,Southwest 2-23-109-1,
1081,Rampart 1-12-544-1,job
1082,CPHBRE-0-103-1,"sports, study, job"
1083,Newton 1-17-196-1,job
1084,Newton 1-17-181-1,
1085,Newton 1-17-182-1,job
1086,CPHBRE-0-104-1,"study, art, selfimprovement"
1087,Southwest 2-23-100-1,sports
1088,Harbor-21-196-1,
1089,Newton 1-17-49-2,
1090,VMVHF-0-62-2,"job, church, sports"
1091,Hollenbeck 2-20-147-2,
1092,Newton 1-17-195-1,job
1093,Newton 2-23-204-1,"volunteer, church"
1094,Hollenbeck 3-20-152-2,
1095,77th 2-13-1400-1,
1096,77th 1-16-95-1,
1097,Foothill-14-396-1,
1098,Harbor-21-193-1,
1099,Hollenbeck 3-20-154-2,
1100,Southeast 3-10-137-2,sports
1101,Hollenbeck 2-20-158-2,
1102,Southwest 2-23-55-2,"program, church, sports"
1103,Southeast 2-20-129-2,hygiene
1104,Northeast-20-243-2,
1105,Newton 2-23-113-2,church
1106,Foothill-14-380-1,sports
1107,Southeast 3-10-163-1,
1108,Valley-92-35-1,church
1109,Southeast 3-10-118-2,sports
1110,Southeast 2-20-106-2,hygiene
1111,Newton 1-17-225-1,sports
1112,Southwest 1-15-305-2,sports
1113,Northeast-20-233-2,
1114,Harbor-21-195-1,job
1115,Rampart 1-12-530-1,
1116,Hollenbeck 1-20-123-2,
1117,Hollenbeck 3-20-162-2,
1118,Hollenbeck 2-20-33-3,
1119,Northeast-20-227-2,
1120,CPHBRE-0-109-1,
1121,Rampart 1-12-512-2,
1122,Southwest 1-15-269-1,"job, other"
1123,Newton 1-17-187-1,art
1124,Southwest 1-15-334-2,
1125,Southeast 3-10-150-2,"study, sports"
1126,Newton 2-23-229-1,therapy
1127,77th 1-16-74-1,
1128,Rampart 1-12-526-1,job
1129,77th 1-16-84-1,
1130,Rampart 1-12-523-1,therapy
1131,Hollenbeck 1-20-131-2,program
1132,Hollenbeck 1-20-167-2,
1133,Hollenbeck 1-20-80-3,
1134,Newton 2-23-217-1,sports
1135,Hollenbeck 2-20-40-3,
1136,SSSEARE-0-95-1,
1137,Rampart 1-12-536-1,church
1138,Southwest 1-15-333-2,
1139,77th 1-16-92-1,
1140,SSSEARE-0-96-1,
1141,BHSEA-1-164-3,
1142,Valley-92-32-1,
1143,Valley-92-21-1,
1144,Rampart 1-12-540-1,
1145,77th 3-20-163-1,therapy
1146,Newton 2-23-218-1,
1147,Hollenbeck 3-20-173-2,
1148,Southeast 1-22-135-1,
1149,Southwest 2-23-106-1,
1150,Newton 2-23-215-1,program
1151,Southwest 2-23-63-2,
1152,Harbor-21-179-1,
1153,Southwest 2-23-107-1,
1154,Hollenbeck 2-20-162-3,program
1155,Newton 1-17-227-1,sports
1156,Southwest 1-15-304-3,"study, selfimprovement, sports"
1157,Northeast-20-231-2,"sports, program"
1158,Northeast-20-223-2,
1159,Southwest 2-23-77-2,
1160,Southwest 1-15-301-2,
1161,Newton 1-17-230-1,job
1162,Southwest 2-23-60-2,
1163,Harbor-21-175-1,
1164,77th 3-20-239-1,
1165,CPHBRE-0-98-1,
1166,BHSEA-1-117-3,
1167,Hollenbeck 3-20-150-2,
1168,Southwest 1-15-343-1,job
1169,Hollenbeck 2-20-85-2,
1170,77th 3-20-75-1,
1171,SSSEARE-0-86-1,
1172,Hollenbeck 1-20-160-2,
1173,Hollenbeck 1-20-160-2,
1174,Harbor-21-180-1,
1175,77th 3-20-70-2,
1176,Northeast-20-292-1,
1177,FGSEARE-0-85-1,sports
1178,Northeast-20-222-2,job
1179,Valley-92-31-1,
1180,Hollenbeck 1-20-136-2,sports
1181,Southwest 2-23-115-1,
1182,Southwest 2-23-114-1,
1183,Southwest 2-23-124-1,
1184,Southwest 2-23-67-2,"church, study, family, job"
1185,Northeast-20-234-2,"church, study"
1186,77th 3-20-234-1,
1187,77th 2-13-1394-1,"church, volunteer"
1188,Southwest 2-23-102-1,
1189,77th 2-13-1399-1,"sports, church, volunteer"
1190,BVCB-0-88-3,
1191,Hollenbeck 1-20-115-3,
1192,BVCB-0-192-4,
1193,Northeast-20-146-2,"selfimprovement, church"
1194,Valley-92-16-1,family
1195,Southeast 3-10-167-1,"sports, church, volunteer"
1196,Hollenbeck 1-20-150-2,
1197,Southeast 3-10-169-1,"sports, church, volunteer"
1198,Southeast 3-10-170-1,"sports, church, volunteer"
1199,Valley-92-37-1,
1200,Southeast 3-10-171-1,"sports, church, volunteer"
1201,Southeast 3-10-173-1,"sports, church, volunteer"
1202,Northeast-20-232-2,sports
1203,Newton 1-17-232-1,
1204,77th 1-16-110-1,
1205,Hollenbeck 1-20-112-2,
1206,Harbor-21-181-1,
1207,Southwest 2-23-125-1,
1208,Newton 2-23-216-1,program
1209,Newton 1-17-231-1,
1210,Southwest 1-15-290-1,"school, community"
1211,Newton 2-23-228-1,
1212,Valley-92-41-1,
1213,77th 2-13-1409-1,
1214,Southwest 1-15-314-2,
1215,77th 3-20-240-1,therapy
1216,Southwest 2-23-58-2,
1217,Northeast-20-263-2,
1218,Newton 1-17-208-1,
1219,Southwest 1-15-320-2,school
1220,Rampart 1-12-423-2,
1221,Foothill-14-314-1,
1222,Southwest 2-23-80-1,
1223,Valley-92-38-1,
1224,Southwest 2-23-104-1,
1225,Newton 2-23-116-1,"job, program"
1226,Devonshire-Topanga-11-105-2,
1227,Northeast-20-151-2,church
1228,Northeast-20-245-2,
1229,Foothill-14-389-1,
1230,Newton 2-23-92-2,sports
1231,Foothill-14-388-1,
1232,Newton 1-17-226-1,
1233,Southwest 2-23-126-1,selfimprovement
1234,Valley-92-36-1,
1235,77th 2-13-1411-1,volunteer
1236,Hollenbeck 1-20-165-2,
1237,Devonshire-Topanga-11-143-1,church
1238,Newton 2-23-129-2,"sports, program"
1239,Northeast-20-250-2,
1240,Harbor-21-171-1,
1241,Hollenbeck 1-20-98-2,program
1242,Newton 2-23-236-1,sports
1243,Newton 1-17-200-1,sports
1244,Southwest 2-23-113-1,
1245,Southwest 1-15-302-2,"sports, job"
1246,Newton 2-23-69-2,
1247,Newton 1-17-116-2,
1248,Hollenbeck 1-20-155-2,
1249,Harbor-21-168-2,
1250,Southwest 2-23-112-1,
1251,77th 1-16-96-1,
1252,Harbor-21-198-1,
1253,Newton 1-17-56-2,
1254,Hollenbeck 2-20-100-2,
1255,NHSEA-0-360-3,
1256,Hollenbeck 2-20-150-2,
1257,Harbor-21-184-2,
1258,Devonshire-Topanga-11-52-2,
1259,Southeast 3-10-148-2,"study, sports"
1260,Southwest 2-23-122-1,
1261,Hollenbeck 2-20-165-2,
1262,Southeast 2-20-135-1,hygiene
1263,Southeast 2-20-127-1,hygiene
1264,Foothill-14-398-1,other
1265,77th 1-16-99-1,
1266,Northeast-20-268-2,art
1267,Northeast-20-270-2,job
1268,77th 1-16-100-1,study
1269,Southeast 2-20-155-1,hygiene
1270,Southeast 2-20-130-1,hygiene
1271,SSSEARE-0-90-1,
1272,Southwest 1-15-336-2,
1273,Southwest 2-23-52-2,"selfimprovement, job"
1274,Southeast 2-20-138-1,hygiene
1275,Southwest 2-23-117-1,
1276,Southwest 1-15-338-2,sports
1277,Southwest 1-15-337-2,selfimprovement
1278,Southwest 2-23-96-1,sports
1279,Southeast 2-20-151-1,study
1280,Southeast 2-20-153-1,hygiene
1281,Newton 2-23-244-1,therapy
1282,Newton 1-17-233-1,
1283,Southeast 2-20-154-1,hygiene
1284,Harbor-21-162-2,sports
1285,Newton 2-23-248-1,"job, therapy"
1286,Newton 2-23-162-2,"job, program"
1287,CPHBRE-0-106-1,therapy
1288,Newton 2-23-235-1,program
1289,Hollenbeck 1-20-177-2,
1290,Valley-92-33-1,
1291,Southeast 2-20-126-1,
1292,Southeast 2-20-150-1,hygiene
1293,Southwest 1-15-319-2,selfimprovement
1294,Southwest 2-23-103-1,program
1295,Harbor-21-207-1,
1296,Harbor-21-182-1,
1297,Foothill-14-411-1,
1298,Foothill-14-392-1,
1299,77th 1-16-111-1,
1300,Newton 1-17-244-1,
1301,77th 1-16-112-1,
1302,Newton 2-23-227-1,program
1303,Harbor-21-164-1,
1304,NHSEA-0-319-5,
1305,77th 1-16-113-1,
1306,Southeast 1-22-105-1,hygiene
1307,Newton 1-17-189-1,
1308,Foothill-14-391-1,
1309,Southwest 2-23-35-3,
1310,Newton 1-17-218-2,
1311,Southeast 1-22-112-1,
1312,Southwest 1-15-322-2,
1313,Southeast 2-20-216-1,hygiene
1314,Newton 1-17-206-1,sports
1315,77th 1-16-81-1,selfimprovement
1316,Northeast-20-226-2,voluteer
1317,Newton 1-17-160-1,
1318,Newton 1-17-126-2,
1319,Devonshire-Topanga-11-146-1,
1320,77th 3-20-250-1,
1321,Devonshire-Topanga-11-100-2,"selfimprovement, program"
1322,77th 3-20-257-1,sports
1323,77th 3-20-252-1,
1324,Newton 1-17-190-2,sports
1325,Northeast-20-242-2,
1326,77th 3-20-251-1,"community, volunteer"
1327,77th 3-20-248-1,sports
1328,Northeast-20-269-2,
1329,77th 1-16-114-1,
1330,77th 3-20-259-1,
1331,Southwest 2-23-129-1,sports
1332,Hollenbeck 2-20-45-2,
1333,Southwest 2-23-139-1,study
1334,Harbor-21-189-2,
1335,Northeast-20-169-2,"program, volunteer"
1336,Hollenbeck 2-20-177-2,
1337,77th 3-20-245-1,family
1338,Pacific-18-110-2,selfimprovement
1339,Northeast-20-218-2,volunteer
1340,Pacific-18-111-2,selfimprovement
1341,SSSEARE-0-100-1,therapy
1342,Mission-14-251-1,
1343,77th 3-20-253-1,church
1344,Southeast 2-20-99-2,hygiene
1345,77th 1-16-63-1,
1346,Hollenbeck 1-20-42-4,"program, volunteer"
1347,77th 3-20-255-1,hygiene
1348,Southeast 2-20-217-1,hygiene
1349,Northeast-20-162-3,
1350,Newton 1-17-59-2,sports
1351,Harbor-21-169-2,
1352,Hollenbeck 2-20-118-3,program
1353,Northeast-20-176-2,sports
1354,Newton 2-23-224-1,art
1355,Southwest 1-15-311-2,
1356,Harbor-21-160-2,
1357,Harbor-21-206-1,
1358,Harbor-21-209-1,
1359,77th 3-20-256-1,
1360,CPHBRE-0-113-1,
1361,Newton 2-23-201-1,
1362,Hollenbeck 2-20-161-2,
1363,Southeast 2-20-220-1,hygiene
1364,Harbor-21-203-1,
1365,Hollenbeck 2-20-158-2,
1366,Harbor-21-167-2,
1367,Olympic-12-126-2,
1368,Harbor-21-176-2,
1369,77th 1-16-64-1,
1370,Foothill-14-410-1,
1371,CPHBRE-0-110-1,sports
1372,Northeast-20-215-2,
1373,Northeast-20-303-1,
1374,Foothill-14-312-1,
1375,Newton 1-17-207-1,art
1376,77th 3-20-262-1,church
1377,Harbor-21-205-1,
1378,Hollenbeck 2-20-131-2,
1379,Southeast 1-22-120-1,
1380,Southwest 1-15-298-1,community
1381,Southwest 2-23-131-1,
1382,Southeast 2-20-214-1,hygiene
1383,Newton 2-23-253-1,program
1384,Harbor-21-200-1,
1385,NHSEA-0-149-3,"sports, volunteer"
1386,Hollenbeck 1-20-183-2,
1387,Hollywood-12-85-1,"sports, art"
1388,Southwest 2-23-109-1,"church, family"
1389,Hollenbeck 2-20-29-3,
1390,BHSEA-1-147-3,
1391,77th 1-16-82-1,selfimprovement
1392,Southeast 1-22-123-1,
1393,Hollenbeck 2-20-151-3,
1394,Harbor-21-199-1,
1395,Southeast 2-20-159-1,hygiene
1396,Hollenbeck 1-20-130-2,sports
1397,Newton 2-23-241-1,
1398,Newton 2-23-241-1,sports
1399,Devonshire-Topanga-11-18-3,
1400,Southwest 2-23-127-1,
1401,Newton 2-23-247-1,volunteer
1402,Northeast-20-249-2,
1403,Northeast-20-279-2,church
