ID,admin,age,sex,zone,gang,family,other,risk
77th 1-16-100-1,1,18,2,1,-0.956324128,-2.883766011,NA,2.603623309
77th 1-16-110-1,1,15,2,1,1.277709845,1.478280571,NA,2.806261664
77th 1-16-111-1,1,21,2,1,NA,-4.297772601,NA,-1.588878419
77th 1-16-112-1,1,20,2,1,NA,NA,1.535108175,-0.878614875
77th 1-16-113-1,1,18,2,1,NA,-2.345008704,-2.637297341,-2.956039882
77th 1-16-114-1,1,16,2,1,-0.369860075,-2.322408821,NA,-0.246181206
77th 1-16-64-1,1,17,1,1,-0.014131788,-1.60601219,-0.178779775,2.27612212
77th 1-16-81-1,1,18,2,1,0.564768609,1.581231343,NA,-0.432885349
77th 1-16-82-1,1,17,2,1,NA,-2.009535708,NA,2.58766192
77th 1-16-83-1,1,18,2,1,1.79473411,1.825476311,NA,-0.285508158
77th 1-16-84-1,1,18,2,1,0.934160321,-3.284919905,NA,4.687655637
77th 1-16-91-1,1,18,1,1,1.460600139,-2.676801615,NA,2.854118655
77th 1-16-92-1,1,16,2,1,NA,NA,NA,0.722256514
77th 1-16-94-1,1,17,2,1,0.049536992,-2.887474728,NA,0.218799781
77th 1-16-95-1,1,17,2,1,1.874593433,-1.282688246,NA,2.209040845
77th 1-16-96-1,1,18,2,1,NA,-1.095683246,NA,1.217210385
77th 1-16-99-1,1,17,2,1,2.673953666,0.817054657,NA,1.730021186
77th 2-13-1290-2,1,15,1,2,-2.446807652,-1.344302974,NA,0.97935918
77th 2-13-1305-1,1,16,1,2,NA,-0.499675457,NA,0.334617183
77th 2-13-1309-1,1,18,2,2,NA,-2.622284182,-0.891331677,-2.272459151
77th 2-13-1382-2,1,17,1,2,NA,-1.764450311,NA,0.073888632
77th 2-13-1383-2,1,17,1,2,NA,2.152531447,NA,-0.190678377
77th 2-13-1384-2,1,19,1,2,NA,NA,NA,1.405864423
77th 2-13-1399-1,1,19,1,2,NA,NA,-1.732858693,-5.485774559
77th 2-13-1411-1,1,18,1,2,-4.850949829,2.426014689,2.207880682,3.052642908
77th 3-20-334-1,1,17,2,3,NA,-0.569516348,-1.294509169,-2.249917618
BVCB-0-174-1,1,20,1,22,2.93178019,-0.597945123,0.411312433,NA
BVCB-0-184-2,1,19,2,22,0.286229106,-1.487376429,NA,3.809879242
BVCB-0-196-3,1,24,1,22,2.377186383,-1.902807591,NA,-1.691172544
BVCB-0-215-3,1,18,1,22,0.06959571,-0.853172164,-1.45044017,1.089084656
BVCB-0-222-2,1,25,1,22,-1.249244012,0.257893916,NA,-2.830353017
BVCB-0-225-3,1,23,1,22,NA,0.130734099,NA,4.831715579
BVCB-0-235-3,1,21,1,22,NA,-0.51919311,NA,10.39951474
BVCB-0-88-3,1,21,1,22,-7.531817904,-0.046885205,NA,-3.299293789
CPHBRE-0-109-1,1,18,1,999,2.882930736,-6.167534835,NA,5.597817764
CPHBRE-0-110-1,1,17,2,999,0.398490289,2.420753118,0.917303558,NA
CPHBRE-0-61-1,1,17,1,999,3.820672349,-3.176291558,NA,6.491682689
CPHBRE-0-82-1,1,16,1,999,NA,2.28419959,0.507545573,-0.021798171
CPHBRE-0-83-1,1,16,1,999,NA,4.019425392,0.557541432,0.241341314
CPHBRE-0-98-1,1,17,1,999,3.440452133,0.76709629,NA,8.77613481
Devonshire-Topanga-11-100-2,1,18,1,4,2.776237706,1.450343017,2.537173556,-1.908921081
Devonshire-Topanga-11-101-1,1,16,1,4,-0.884652746,-1.877855606,1.492207271,3.871807897
Devonshire-Topanga-11-103-1,1,17,1,4,NA,-2.778915238,4.693139264,8.248735037
Devonshire-Topanga-11-105-2,1,21,2,4,NA,-0.446660422,1.482505271,2.678163112
Devonshire-Topanga-11-108-1,1,17,1,4,2.936487966,-0.826853461,-0.053290836,7.651180318
Devonshire-Topanga-11-114-1,1,16,2,4,NA,-2.144227583,3.137939157,3.111221321
Devonshire-Topanga-11-115-1,1,19,1,4,-2.248001381,-5.852562165,2.462436999,3.274532724
Devonshire-Topanga-11-117-1,1,20,1,4,NA,3.189979061,1.341735574,-2.08904508
Devonshire-Topanga-11-119-1,1,18,2,4,NA,-2.181260563,NA,4.73548545
Devonshire-Topanga-11-123-1,1,17,1,4,1.267855346,-0.882754746,1.980430048,2.333876503
Devonshire-Topanga-11-125-1,1,20,1,4,-0.39848643,0.234890198,1.374934477,0.784152176
Devonshire-Topanga-11-129-1,1,16,1,4,2.260217422,0.511455311,-2.086769659,3.418619842
Devonshire-Topanga-11-131-1,1,18,1,4,-0.541010552,1.421837758,-0.507193519,0.003490109
Devonshire-Topanga-11-133-1,1,17,1,4,NA,6.013622408,1.884047111,0.113215585
Devonshire-Topanga-11-143-1,1,16,1,4,1.257304851,-8.638902052,-6.371717999,0.69121212
Devonshire-Topanga-11-146-1,1,16,2,4,NA,3.418830706,-2.925567024,-1.475835694
Devonshire-Topanga-11-162-1,1,17,1,4,2.498884079,-4.866720603,NA,2.14799639
Devonshire-Topanga-11-18-3,1,18,1,4,1.588397604,0.346366218,0.223641194,3.84353818
Devonshire-Topanga-11-7-2,1,22,2,4,0.760246635,0.890767954,NA,-1.58556117
Devonshire-Topanga-11-90-2,1,24,1,4,NA,4.689927116,3.856342218,-3.986346087
Devonshire-Topanga-11-97-1,1,17,1,4,1.743214116,1.835158821,4.491550518,-1.058738875
Devonshire-Topanga-11-98-1,1,18,1,4,3.600140803,5.56875998,NA,0.170942791
FGSEARE-0-60-1,1,18,1,999,1.295916666,3.858468229,2.209366538,8.848966382
FGSEARE-0-84-1,1,17,1,999,NA,1.537650813,NA,1.454909186
FGSEARE-0-89-1,1,18,1,999,NA,-2.113143429,NA,1.228663603
Foothill-14-211-1,1,16,2,5,NA,4.58290793,1.042278034,-0.031359751
Foothill-14-314-1,1,17,2,5,NA,-7.715860158,NA,-0.011620073
Foothill-14-375-1,1,15,1,5,NA,-4.996577189,NA,-0.102094087
Foothill-14-390-1,1,19,1,5,NA,-2.952488575,NA,2.494749041
Foothill-14-437-1,1,18,2,5,NA,-0.127412723,NA,-3.69734782
Foothill-14-449-1,1,20,2,5,NA,NA,NA,-1.366961426
Foothill-14-451-1,1,17,1,5,NA,3.279000926,2.010142776,-2.378043347
Harbor-21-150-1,1,21,1,6,0.973522511,4.22753388,-0.608913154,-0.721883616
Harbor-21-160-2,1,24,1,6,-0.916265941,2.90266419,2.3022633,-3.646200757
Harbor-21-162-2,1,17,1,6,1.870509942,1.554269045,1.391973493,-0.773030679
Harbor-21-164-1,1,14,1,6,0.885783232,1.783956604,-4.782075193,-1.780795351
Harbor-21-167-2,1,22,1,6,0.747658902,0.994646128,NA,-2.956039882
Harbor-21-168-2,1,25,2,6,1.127693779,-0.102876532,NA,1.089084656
Harbor-21-169-2,1,21,1,6,1.304268988,1.339405246,1.280551858,-0.827467813
Harbor-21-171-1,1,19,2,6,-2.274467853,-1.84250992,NA,0.15169133
Harbor-21-176-2,1,17,1,6,-0.031642613,0.137621966,-0.152038758,-0.878614875
Harbor-21-179-1,1,18,2,6,0.645323928,-2.399099828,NA,-2.08904508
Harbor-21-182-1,1,15,2,6,1.040671456,-3.300322918,1.508367158,-0.788964891
Harbor-21-184-2,1,21,1,6,3.193618494,0.741799224,NA,1.033977809
Harbor-21-189-2,1,22,2,6,-1.101008132,3.216364561,NA,-1.691172544
Harbor-21-194-1,1,16,1,6,-1.323260616,-1.880812726,0.013106971,2.571727708
Harbor-21-196-1,1,17,1,6,1.453660768,5.243729799,0.748549049,3.287204041
Harbor-21-198-1,1,19,2,6,-0.609222728,-0.868025817,-0.085883012,-1.62077402
Harbor-21-199-1,1,17,1,6,2.964806337,2.763528102,NA,0.562235183
Harbor-21-203-1,1,26,2,6,-1.408051345,-1.270758155,NA,-0.922116099
Harbor-21-205-1,1,24,2,6,-0.928005758,2.790424612,NA,-2.304354752
Harbor-21-206-1,1,20,1,6,1.502510223,0.274944228,NA,0.437399525
Harbor-21-207-1,1,16,1,6,-0.485858474,1.293512636,1.231435129,5.44178921
Harbor-21-209-1,1,24,1,6,0.333665608,-5.752826823,-0.071573647,-2.041188089
Harbor-21-220-1,1,18,1,6,0.659008312,2.330633517,NA,-1.039487413
Harbor-21-221-1,1,22,1,6,2.080183008,2.499545951,2.728181172,-1.96091935
Harbor-21-223-1,1,17,1,6,-1.972132417,-0.165165188,-1.232568931,-0.012289785
Harbor-21-224-1,1,21,1,6,-1.135662546,-3.190711071,-0.169077774,-2.612604481
Harbor-21-226-1,1,18,1,6,1.826439975,3.071024994,NA,-1.116466081
Harbor-21-228-1,1,26,2,6,0.747658902,2.431349703,NA,-2.378043347
Harbor-21-229-1,1,23,1,6,1.757349908,-0.856822513,1.280551858,-1.800046812
Harbor-21-234-1,1,23,1,6,0.968814734,3.895258379,0.454578003,-1.437359949
Harbor-21-235-1,1,22,1,6,4.352954886,-5.745159734,NA,3.285650129
Harbor-21-237-1,1,20,1,6,1.502510223,-0.67904965,NA,-2.378043347
Harbor-21-238-1,1,18,1,6,-0.031642613,0.04163575,0.764102209,-1.800046812
Harbor-21-239-1,1,23,2,6,-0.202700419,0.055450218,0.447605653,-4.907778024
Harbor-21-240-1,1,21,2,6,NA,-0.94493945,-0.654935566,-2.432480481
Harbor-21-242-1,1,23,1,6,0.950607914,1.752889998,NA,-2.956039882
Hollenbeck 1-20-101-2,1,16,1,7,NA,1.537073418,-0.428606122,0.671290946
Hollenbeck 1-20-103-2,1,17,1,7,NA,1.744681382,NA,-1.167613143
Hollenbeck 1-20-104-3,1,16,1,7,NA,8.796792652,5.411542326,-2.884790151
Hollenbeck 1-20-105-4,1,23,1,7,-1.785795379,-3.066289047,NA,1.11960784
Hollenbeck 1-20-111-2,1,22,1,7,NA,3.074409222,NA,-4.329781489
Hollenbeck 1-20-112-2,1,15,1,7,1.709471014,-1.681576626,3.1267513,2.240936447
Hollenbeck 1-20-115-3,1,17,1,7,2.119452528,0.641573074,NA,-0.851717576
Hollenbeck 1-20-116-2,1,18,1,7,-4.01175504,2.981048079,NA,-0.832493292
Hollenbeck 1-20-122-2,1,14,1,7,1.545698853,-2.352233793,NA,6.214838431
Hollenbeck 1-20-123-2,1,18,1,7,-1.911391226,-0.63086349,NA,-0.24182544
Hollenbeck 1-20-130-2,1,16,1,7,NA,3.29402837,0.272393258,1.496338437
Hollenbeck 1-20-131-2,1,16,1,7,5.020526832,-4.51496827,-0.40423009,2.202460702
Hollenbeck 1-20-136-2,1,16,1,7,NA,-3.023179997,1.729359906,NA
Hollenbeck 1-20-139-2,1,15,2,7,0.334821509,6.969531767,NA,-0.358345546
Hollenbeck 1-20-140-2,1,14,1,7,-3.452892402,0.531788648,NA,-2.378043347
Hollenbeck 1-20-147-2,1,18,1,7,0.898370965,0.364496922,NA,-0.359196754
Hollenbeck 1-20-150-2,1,18,1,7,4.055512566,0.356684905,NA,-2.306793616
Hollenbeck 1-20-160-2,1,16,2,7,NA,-3.924786717,NA,0.924922046
Hollenbeck 1-20-177-2,1,16,1,7,4.383525809,-0.60616384,NA,6.446082315
Hollenbeck 1-20-183-2,1,15,2,7,NA,-0.121226793,2.050071969,7.081833234
Hollenbeck 1-20-184-2,1,16,2,7,2.465549947,5.186046003,NA,0.113215585
Hollenbeck 1-20-186-2,1,16,1,7,2.423015577,-3.886852833,NA,7.530852832
Hollenbeck 1-20-191-2,1,17,2,7,-5.983727078,-5.450879684,NA,-2.595791884
Hollenbeck 1-20-193-2,1,14,1,7,-8.583600888,3.509160946,NA,-3.251618293
Hollenbeck 1-20-217-2,1,16,1,7,0.34625334,NA,-0.06150698,-1.206088888
Hollenbeck 1-20-228-2,1,33,1,7,-1.443401756,-0.685319302,NA,-3.408349552
Hollenbeck 1-20-243-1,1,18,2,7,NA,-5.400660966,2.779298221,-4.329781489
Hollenbeck 1-20-244-1,1,18,2,7,NA,-2.118258887,NA,-1.800046812
Hollenbeck 1-20-368-2,1,17,2,7,NA,-3.77076894,3.124750981,-1.944106754
Hollenbeck 1-20-44-2,1,20,1,7,4.442854047,2.190746657,NA,2.47549758
Hollenbeck 1-20-59-2,1,16,2,7,NA,-1.946735857,NA,1.464415659
Hollenbeck 1-20-64-2,1,17,1,7,-0.783321754,2.148621702,NA,-2.381333419
Hollenbeck 1-20-76-3,1,18,1,8,NA,-0.049508558,2.911245046,2.103610967
Hollenbeck 1-20-77-3,1,17,2,7,-0.9291407,0.525743067,NA,-2.378043347
Hollenbeck 1-20-80-3,1,18,1,7,-6.620196487,2.990434162,0.208088034,-2.381333419
Hollenbeck 1-20-98-2,1,17,1,7,-2.678041613,1.019269109,NA,-4.040783222
Hollenbeck 2-20-10-3,1,17,2,8,-0.846130157,NA,NA,-1.214404439
Hollenbeck 2-20-100-2,1,18,2,8,NA,5.737258295,1.943987031,-3.299475284
Hollenbeck 2-20-114-2,1,18,1,8,1.288918046,1.071211611,NA,0.081319983
Hollenbeck 2-20-119-2,1,19,2,8,NA,0.590902255,NA,0.167652719
Hollenbeck 2-20-132-2,1,23,1,8,NA,3.666917361,3.733732727,5.598338974
Hollenbeck 2-20-145-2,1,19,1,8,NA,0.648680884,NA,-2.269169079
Hollenbeck 2-20-146-2,1,15,2,8,NA,-2.177600681,-0.498248042,0.145111186
Hollenbeck 2-20-154-2,1,23,1,8,1.569494787,-0.245797227,NA,1.065170706
Hollenbeck 2-20-158-2,1,22,2,8,NA,-6.638153822,NA,-1.386212887
Hollenbeck 2-20-165-2,1,17,2,8,NA,-1.819777453,NA,0.432737036
Hollenbeck 2-20-169-2,1,16,1,8,NA,-3.126432536,2.389308903,2.513973325
Hollenbeck 2-20-171-2,1,17,1,8,NA,-0.843239974,1.523920319,-2.775915883
Hollenbeck 2-20-192-2,1,16,2,8,-2.950995448,-5.429433426,NA,-1.588878419
Hollenbeck 2-20-199-2,1,15,1,8,NA,-1.681604276,-1.304817897,2.186499312
Hollenbeck 2-20-200-2,1,17,1,8,NA,-3.292162955,1.659717985,2.529934714
Hollenbeck 2-20-201-2,1,21,2,8,NA,2.903315617,NA,-4.618779757
Hollenbeck 2-20-202-2,1,18,1,8,NA,-2.976690174,1.971092714,1.127560401
Hollenbeck 2-20-31-2,1,16,1,8,NA,-1.658560353,2.561549587,-0.535179474
Hollenbeck 2-20-31-3,1,18,1,8,NA,-3.985691493,0.962934113,-2.323606213
Hollenbeck 2-20-33-3,1,15,2,8,NA,-3.003718442,4.367455171,-1.010881884
Hollenbeck 2-20-46-2,1,25,1,8,NA,NA,NA,-1.619922813
Hollenbeck 2-20-50-3,1,16,1,8,0.487765165,-2.459904846,0.652680574,-0.137306938
Hollenbeck 2-20-52-3,1,16,2,8,NA,-1.1036412,0.856998972,-0.773030679
Hollenbeck 2-20-68-2,1,19,1,8,NA,-0.584439867,2.044220809,-1.225340349
Hollenbeck 2-20-73-2,1,20,1,8,NA,3.902328465,NA,-2.667041615
Hollenbeck 2-20-85-2,1,42,1,8,1.912255645,-4.029648391,NA,6.269611378
Hollenbeck 2-20-89-2,1,30,2,8,NA,-9.098222747,0.655410226,2.690319035
Hollenbeck 3-20-199-2,1,16,2,9,-4.080161572,-4.376621533,1.063532557,-2.959329954
Hollenbeck 3-20-240-2,1,17,1,9,-1.140370322,0.139991589,NA,-2.143482214
Hollenbeck 3-20-241-2,1,20,2,9,-2.355023172,-1.17097643,NA,-5.485774559
Hollenbeck 3-20-257-1,1,22,1,9,2.611862218,0.205940696,NA,2.631344639
Hollenbeck 3-20-264-1,1,19,2,9,-7.712476603,-1.267208518,NA,-1.186837427
Hollenbeck 3-20-298-1,1,18,2,9,NA,3.897966049,NA,-3.880761891
Hollenbeck 3-20-3-2,1,20,2,9,-2.191621691,1.489272746,NA,0.15169133
Hollywood-12-14-1,1,25,1,10,2.013126733,-3.783676596,0.813218939,0.908960657
Hollywood-12-19-2,1,27,2,10,-4.568395101,3.535218913,1.908423142,0.222089853
Hollywood-12-24-2,1,16,1,10,0.022538904,1.821816841,2.225284364,2.716638857
Hollywood-12-25-2,1,14,1,10,NA,1.101085858,1.782327476,2.064953727
Hollywood-12-26-2,1,25,2,10,NA,1.19110877,1.908423142,2.013806664
Hollywood-12-30-2,1,25,1,10,-4.776051889,-0.525838744,2.745584854,-0.121345549
Hollywood-12-37-2,1,16,1,10,3.198326271,-0.061422613,2.870194664,2.895911649
Hollywood-12-41-1,1,24,1,10,2.247342664,-2.01544832,1.523920319,4.687809955
Hollywood-12-71-1,1,15,1,10,NA,2.527828998,2.344043015,2.408389128
Mission-14-216-2,1,14,1,11,NA,3.056459754,NA,-2.784231434
Mission-14-256-1,1,16,2,11,NA,-2.463651498,NA,-3.880761891
Mission-14-326-1,1,19,1,11,NA,-1.431516148,NA,-2.956039882
Mission-14-342-1,1,15,2,11,-2.372567417,-1.988690301,NA,7.313077118
Newton 1-17-128-1,1,14,1,12,NA,-0.308009553,1.475168255,0.277378195
Newton 1-17-145-1,1,15,1,12,-1.163980916,1.609756806,NA,1.615934128
Newton 1-17-160-1,1,15,2,12,NA,2.053181593,NA,4.048614647
Newton 1-17-170-1,1,14,2,12,NA,NA,NA,-1.167431648
Newton 1-17-173-1,1,15,1,12,2.047595807,-1.62100147,NA,2.244226518
Newton 1-17-178-1,1,15,2,12,2.047595807,-3.129022514,NA,2.92780725
Newton 1-17-181-1,1,17,2,12,3.437064638,-2.848940177,NA,-0.336655221
Newton 1-17-182-1,1,16,1,12,1.091904423,2.763111712,NA,1.448481447
Newton 1-17-187-1,1,15,1,12,NA,2.180487733,-0.203155807,-1.800046812
Newton 1-17-189-1,1,16,2,12,NA,-3.835755137,NA,4.212777257
Newton 1-17-190-2,1,16,1,12,NA,0.758512288,NA,1.775955459
Newton 1-17-195-1,1,16,1,12,2.047595807,-5.470877657,NA,3.789958069
Newton 1-17-196-1,1,16,2,12,2.047595807,-0.691418645,NA,2.92780725
Newton 1-17-200-1,1,16,1,12,NA,-0.701542356,3.688466838,-0.254315262
Newton 1-17-206-1,1,17,1,12,NA,3.596113174,1.920490128,1.002418021
Newton 1-17-207-1,1,13,2,12,NA,-0.878229469,2.434574792,1.127560401
Newton 1-17-208-1,1,24,1,12,NA,-5.010420519,-3.145166179,-1.066691435
Newton 1-17-225-1,1,17,1,12,NA,-0.878970139,2.945687745,4.08380032
Newton 1-17-226-1,1,14,2,12,NA,0.02579594,NA,2.033058125
Newton 1-17-227-1,1,17,1,12,NA,-0.374364352,1.724387875,-3.986346087
Newton 1-17-230-1,1,19,1,12,NA,3.585381762,NA,1.853999821
Newton 1-17-231-1,1,17,1,12,-6.064721343,0.927703419,-2.277777275,7.936525524
Newton 1-17-232-1,1,20,1,12,NA,0.508467473,-1.451926025,0.780862104
Newton 1-17-233-1,1,15,2,12,NA,-6.926039056,NA,2.552476247
Newton 1-17-276-2,1,16,1,12,NA,1.868383353,0.34973686,-3.24503815
Newton 1-17-49-2,1,17,2,12,1.095291918,-3.512786375,NA,2.025626774
Newton 1-17-56-2,1,16,2,12,NA,1.543700522,NA,2.95119999
Newton 1-17-59-2,1,20,1,12,NA,2.952456415,0.213574527,1.093440422
Newton 2-23-113-1,1,14,2,13,NA,0.830831603,-1.263917312,-1.116466081
Newton 2-23-113-2,1,15,2,13,NA,-0.25861768,NA,-0.089449947
Newton 2-23-126-1,1,16,1,13,4.022208409,-0.86262463,-3.387048783,1.585961245
Newton 2-23-129-2,1,24,1,13,NA,-9.198091059,NA,0.780834927
Newton 2-23-130-1,1,14,1,13,NA,0.36743425,2.142968731,1.178707463
Newton 2-23-135-1,1,21,2,13,NA,0.651631384,-1.054626884,-2.956039882
Newton 2-23-138-1,1,20,1,13,NA,4.413101239,0.900264542,-3.088125396
Newton 2-23-139-1,1,20,2,13,NA,-2.789753827,-1.41326782,0.22556142
Newton 2-23-141-1,1,17,1,13,NA,0.009958374,-6.790298855,-1.405464348
Newton 2-23-15-1,1,24,1,13,NA,-4.764739977,-0.870077154,-3.880761891
Newton 2-23-151-1,1,24,1,13,-5.308334426,1.290389585,-2.909649197,-0.285508158
Newton 2-23-156-1,1,26,1,13,5.178874262,-3.748265949,1.281673048,2.857408727
Newton 2-23-167-1,1,17,1,13,NA,-1.951935219,1.159550829,-4.490654027
Newton 2-23-175-1,1,14,2,13,NA,-1.133185645,-1.195396581,0.475902448
